tcp-traceroute from 192.168.100.4 to 104.20.67.46
17  47.244.164.179  136.411 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.217.200.156
 1  192.168.100.1  0.910 ms ICMP
 2  202.163.124.100  3.332 ms ICMP
 3  192.168.146.53  20.099 ms ICMP
 4  202.163.124.57  2.930 ms ICMP
 5  116.71.134.65  7.216 ms ICMP
 6  221.120.223.53  7.693 ms ICMP
 7  221.120.254.18  24.823 ms ICMP
 8  221.120.248.43  60.505 ms ICMP
 9  195.22.197.122  118.228 ms ICMP
10  195.22.205.13  141.314 ms ICMP
11  46.33.83.178  138.091 ms ICMP
12  89.149.141.125  304.543 ms ICMP
13  69.174.22.86  286.956 ms ICMP
14  *
15  104.217.200.156  283.307 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.202.147.93
 1  192.168.100.1  0.876 ms ICMP
 2  202.163.124.100  2.279 ms ICMP
 3  192.168.146.53  25.070 ms ICMP
 4  202.163.124.57  2.799 ms ICMP
 5  116.71.134.65  2.945 ms ICMP
 6  221.120.223.53  3.602 ms ICMP
 7  221.120.254.18  24.379 ms ICMP
 8  221.120.248.3  23.202 ms ICMP
 9  *
10  80.249.209.150  158.181 ms ICMP
11  184.105.213.66  165.657 ms ICMP
12  72.52.92.198  171.391 ms ICMP
13  184.105.65.245  226.345 ms ICMP
14  184.105.81.150  232.731 ms ICMP
15  72.52.92.225  252.841 ms ICMP
16  184.105.80.202  288.348 ms ICMP
17  72.52.92.122  287.978 ms ICMP
18  *
19  *
20  104.202.147.93  298.324 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 47.90.36.248
 1  192.168.100.1  4.720 ms ICMP
 2  202.163.124.100  3.135 ms ICMP
 3  *
 4  202.163.124.57  2.742 ms ICMP
 5  116.71.134.65  2.941 ms ICMP
 6  221.120.223.57  5.792 ms ICMP
 7  221.120.254.49  23.161 ms ICMP
 8  221.120.248.46  23.612 ms ICMP
 9  213.242.116.153  132.316 ms ICMP
10  4.69.161.66  181.638 ms ICMP
11  4.68.72.222  146.180 ms ICMP
12  63.223.17.50  316.457 ms ICMP
13  *
14  *
15  11.16.2.157  296.351 ms ICMP
16  11.52.236.29  291.323 ms ICMP
17  47.90.36.248  292.802 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 185.50.24.102
 1  192.168.100.1  14.099 ms ICMP
 2  202.163.124.100  5.231 ms ICMP
 3  *
 4  202.163.124.57  4.835 ms ICMP
 5  116.71.134.65  2.763 ms ICMP
 6  221.120.223.57  4.965 ms ICMP
 7  221.120.254.49  29.763 ms ICMP
 8  202.125.128.163  25.142 ms ICMP
 9  *
10  80.249.209.150  179.196 ms ICMP
11  216.66.93.82  166.612 ms ICMP
12  *
13  *
14  80.64.108.145  196.261 ms ICMP
15  185.50.24.102  196.779 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.28.25.41
 1  192.168.100.1  1.098 ms ICMP
 2  202.163.124.100  3.381 ms ICMP
 3  192.168.146.53  10.906 ms ICMP
 4  202.163.124.57  32.390 ms ICMP
 5  116.71.134.65  4.525 ms ICMP
 6  221.120.223.53  6.800 ms ICMP
 7  221.120.254.18  25.939 ms ICMP
 8  221.120.251.101  24.112 ms ICMP
 9  221.120.200.3  22.244 ms ICMP
10  104.28.25.41  23.399 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 154.83.24.34
 1  192.168.100.1  0.895 ms ICMP
 2  202.163.124.100  2.595 ms ICMP
 3  192.168.146.53  5.313 ms ICMP
 4  202.163.124.57  2.679 ms ICMP
 5  116.71.134.65  2.759 ms ICMP
 6  221.120.223.53  6.237 ms ICMP
 7  221.120.254.18  27.578 ms ICMP
 8  202.125.128.163  23.669 ms ICMP
 9  202.125.134.22  156.165 ms ICMP
10  80.249.209.150  156.597 ms ICMP
11  184.105.213.66  166.717 ms ICMP
12  72.52.92.198  190.947 ms ICMP
13  184.105.65.245  260.677 ms ICMP
14  184.105.81.150  235.001 ms ICMP
15  72.52.92.225  253.096 ms ICMP
16  184.105.80.202  289.649 ms ICMP
17  72.52.92.122  288.814 ms ICMP
18  23.238.223.33  282.445 ms ICMP
19  104.149.2.58  290.803 ms ICMP
20  *
21  154.83.24.34  306.976 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 154.83.26.34
 1  192.168.100.1  5.621 ms ICMP
 2  202.163.124.100  2.415 ms ICMP
 3  *
 4  202.163.124.57  2.726 ms ICMP
 5  116.71.134.65  2.744 ms ICMP
 6  221.120.223.57  2.507 ms ICMP
 7  221.120.254.49  22.423 ms ICMP
 8  221.120.248.3  25.511 ms ICMP
 9  202.125.134.22  154.768 ms ICMP
10  80.249.209.150  155.335 ms ICMP
11  184.105.213.66  165.336 ms ICMP
12  72.52.92.198  189.652 ms ICMP
13  184.105.65.245  225.848 ms ICMP
14  184.105.81.150  232.480 ms ICMP
15  72.52.92.225  236.633 ms ICMP
16  184.105.80.202  288.074 ms ICMP
17  72.52.92.122  287.683 ms ICMP
18  23.238.223.33  281.694 ms ICMP
19  104.149.2.58  289.655 ms ICMP
20  *
21  154.83.26.34  282.619 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.28.5.211
 1  192.168.100.1  24.784 ms ICMP
 2  202.163.124.100  31.450 ms ICMP
 3  192.168.146.53  19.565 ms ICMP
 4  202.163.124.57  2.738 ms ICMP
 5  116.71.134.65  5.649 ms ICMP
 6  221.120.223.57  12.540 ms ICMP
 7  221.120.254.49  21.829 ms ICMP
 8  221.120.251.88  20.836 ms ICMP
 9  221.120.200.3  43.177 ms ICMP
10  104.28.5.211  22.585 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.24.126.15
 1  192.168.100.1  0.999 ms ICMP
 2  202.163.124.100  3.669 ms ICMP
 3  192.168.146.53  49.269 ms ICMP
 4  202.163.124.57  2.878 ms ICMP
 5  116.71.134.65  3.742 ms ICMP
 6  221.120.223.53  3.416 ms ICMP
 7  221.120.254.18  24.887 ms ICMP
 8  221.120.251.101  24.628 ms ICMP
 9  221.120.200.3  22.961 ms ICMP
10  104.24.126.15  22.971 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 211.168.237.23
 1  192.168.100.1  0.886 ms ICMP
 2  202.163.124.100  17.591 ms ICMP
 3  192.168.146.53  6.330 ms ICMP
 4  202.163.124.57  2.978 ms ICMP
 5  116.71.134.65  3.030 ms ICMP
 6  221.120.223.53  5.520 ms ICMP
 7  221.120.254.18  26.251 ms ICMP
 8  202.125.128.135  21.971 ms ICMP
 9  213.242.115.57  131.153 ms ICMP
10  4.69.153.137  283.136 ms ICMP
11  61.42.234.5  298.064 ms ICMP
12  1.213.105.145  281.051 ms ICMP
13  1.208.148.137  301.153 ms ICMP
14  1.213.106.62  298.226 ms ICMP
15  1.213.151.250  302.810 ms ICMP
16  *
17  61.42.202.118  307.841 ms ICMP
18  211.170.5.126  362.549 ms ICMP
19  *
20  211.168.237.52  317.072 ms ICMP
21  *
22  211.168.237.23  316.860 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 154.83.24.190
 1  192.168.100.1  1.124 ms ICMP
 2  202.163.124.100  2.680 ms ICMP
 3  *
 4  202.163.124.57  2.632 ms ICMP
 5  116.71.134.65  42.194 ms ICMP
 6  221.120.223.57  5.237 ms ICMP
 7  221.120.254.49  24.064 ms ICMP
 8  202.125.128.134  25.462 ms ICMP
 9  202.125.134.22  155.100 ms ICMP
10  80.249.209.150  155.452 ms ICMP
11  184.105.213.66  166.759 ms ICMP
12  72.52.92.198  171.725 ms ICMP
13  184.105.65.245  226.056 ms ICMP
14  184.105.81.150  232.441 ms ICMP
15  72.52.92.225  237.662 ms ICMP
16  184.105.80.202  336.304 ms ICMP
17  72.52.92.122  287.595 ms ICMP
18  23.238.223.33  281.335 ms ICMP
19  104.149.2.58  289.603 ms ICMP
20  *
21  154.83.24.190  302.395 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.18.37.81
 1  192.168.100.1  0.899 ms ICMP
 2  202.163.124.100  3.613 ms ICMP
 3  *
 4  202.163.124.57  2.710 ms ICMP
 5  116.71.134.65  2.951 ms ICMP
 6  221.120.223.53  5.011 ms ICMP
 7  221.120.254.18  22.812 ms ICMP
 8  221.120.251.101  22.681 ms ICMP
 9  221.120.200.3  20.557 ms ICMP
10  104.18.37.81  19.680 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 154.83.24.147
 1  192.168.100.1  0.889 ms ICMP
 2  202.163.124.100  3.149 ms ICMP
 3  *
 4  202.163.124.57  2.654 ms ICMP
 5  116.71.134.65  2.931 ms ICMP
 6  221.120.223.53  5.891 ms ICMP
 7  221.120.254.18  22.431 ms ICMP
 8  202.125.128.134  22.052 ms ICMP
 9  202.125.134.22  153.099 ms ICMP
10  80.249.209.150  153.987 ms ICMP
11  184.105.213.66  163.899 ms ICMP
12  72.52.92.198  169.986 ms ICMP
13  184.105.65.245  224.397 ms ICMP
14  184.105.81.150  230.993 ms ICMP
15  72.52.92.225  252.435 ms ICMP
16  184.105.80.202  286.760 ms ICMP
17  72.52.92.122  286.293 ms ICMP
18  23.238.223.33  279.837 ms ICMP
19  104.149.2.58  288.113 ms ICMP
20  *
21  154.83.24.147  299.216 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.217.195.163
 1  *
 2  202.163.124.100  3.403 ms ICMP
 3  *
 4  202.163.124.57  3.258 ms ICMP
 5  116.71.134.65  5.141 ms ICMP
 6  221.120.223.57  59.599 ms ICMP
 7  221.120.254.49  21.759 ms ICMP
 8  221.120.248.3  22.837 ms ICMP
 9  93.186.129.216  121.782 ms ICMP
10  195.22.205.39  155.072 ms ICMP
11  46.33.83.178  143.483 ms ICMP
12  89.149.130.94  293.758 ms ICMP
13  69.174.22.86  287.654 ms ICMP
14  *
15  104.217.195.163  296.302 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 120.27.199.56
 1  *
 2  202.163.124.100  2.525 ms ICMP
 3  *
 4  202.163.124.57  3.190 ms ICMP
 5  116.71.134.65  2.810 ms ICMP
 6  221.120.223.57  3.330 ms ICMP
 7  221.120.254.49  22.565 ms ICMP
 8  202.125.128.163  20.323 ms ICMP
 9  93.186.129.176  161.962 ms ICMP
10  195.22.211.36  152.760 ms ICMP
11  89.221.34.147  154.376 ms ICMP
12  202.97.89.113  257.844 ms ICMP
13  *
14  202.97.24.209  286.847 ms ICMP
15  *
16  220.191.200.46  331.332 ms ICMP
17  115.238.21.117  346.152 ms ICMP
18  *
19  *
20  *
21  *
22  120.27.199.56  273.224 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.24.100.52
 1  192.168.100.1  0.898 ms ICMP
 2  202.163.124.100  3.464 ms ICMP
 3  *
 4  202.163.124.57  3.417 ms ICMP
 5  116.71.134.65  9.381 ms ICMP
 6  221.120.223.53  4.858 ms ICMP
 7  221.120.254.18  25.788 ms ICMP
 8  221.120.251.101  23.951 ms ICMP
 9  221.120.200.3  22.184 ms ICMP
10  104.24.100.52  23.075 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 115.28.151.170
 1  192.168.100.1  0.953 ms ICMP
 2  202.163.124.100  2.101 ms ICMP
 3  192.168.146.53  5.552 ms ICMP
 4  202.163.124.57  2.806 ms ICMP
 5  116.71.134.65  2.965 ms ICMP
 6  221.120.223.53  5.193 ms ICMP
 7  221.120.254.18  29.133 ms ICMP
 8  221.120.248.3  47.913 ms ICMP
 9  93.186.142.194  132.698 ms ICMP
10  195.22.211.104  156.940 ms ICMP
11  89.221.34.147  175.014 ms ICMP
12  202.97.95.205  270.730 ms ICMP
13  *
14  202.97.57.158  316.019 ms ICMP
15  202.97.40.82  335.335 ms ICMP
16  *
17  *
18  140.205.26.218  331.473 ms ICMP
19  119.38.215.21  354.260 ms ICMP
20  *
21  115.28.151.170  328.713 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.31.6.180
 1  192.168.100.1  0.953 ms ICMP
 2  202.163.124.100  3.927 ms ICMP
 3  *
 4  202.163.124.57  2.773 ms ICMP
 5  116.71.134.65  2.810 ms ICMP
 6  221.120.223.57  4.032 ms ICMP
 7  221.120.254.49  23.735 ms ICMP
 8  202.125.128.163  21.334 ms ICMP
 9  93.186.129.214  121.658 ms ICMP
10  93.186.129.109  135.334 ms ICMP
11  195.22.193.57  163.632 ms ICMP
12  104.31.6.180  162.422 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.203.134.196
 1  192.168.100.1  0.876 ms ICMP
 2  202.163.124.100  3.805 ms ICMP
 3  192.168.146.53  9.408 ms ICMP
 4  202.163.124.57  2.649 ms ICMP
 5  116.71.134.65  3.129 ms ICMP
 6  221.120.223.57  3.370 ms ICMP
 7  221.120.254.49  23.092 ms ICMP
 8  221.120.248.3  20.879 ms ICMP
 9  202.125.134.22  154.088 ms ICMP
10  80.249.209.150  248.813 ms ICMP
11  184.105.213.66  165.077 ms ICMP
12  72.52.92.198  189.694 ms ICMP
13  184.105.65.245  225.887 ms ICMP
14  184.105.81.150  232.014 ms ICMP
15  72.52.92.225  235.109 ms ICMP
16  184.105.80.202  287.761 ms ICMP
17  72.52.92.122  287.304 ms ICMP
18  *
19  *
20  104.203.134.196  282.379 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 23.244.43.38
 1  192.168.100.1  92.769 ms ICMP
 2  202.163.124.100  5.104 ms ICMP
 3  *
 4  202.163.124.57  3.909 ms ICMP
 5  116.71.134.65  2.729 ms ICMP
 6  221.120.223.53  3.614 ms ICMP
 7  221.120.254.18  63.736 ms ICMP
 8  221.120.248.3  27.396 ms ICMP
 9  *
10  80.249.209.150  156.416 ms ICMP
11  184.105.213.66  166.562 ms ICMP
12  72.52.92.198  190.859 ms ICMP
13  184.105.65.245  227.030 ms ICMP
14  184.105.81.150  235.081 ms ICMP
15  72.52.92.225  275.543 ms ICMP
16  184.105.80.202  290.123 ms ICMP
17  72.52.92.122  288.612 ms ICMP
18  *
19  *
20  23.244.43.38  341.078 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 122.228.238.90
 1  192.168.100.1  0.819 ms ICMP
 2  202.163.124.100  3.521 ms ICMP
 3  *
 4  202.163.124.57  2.906 ms ICMP
 5  116.71.134.65  2.658 ms ICMP
 6  221.120.223.57  3.460 ms ICMP
 7  221.120.254.49  24.270 ms ICMP
 8  202.125.128.134  23.303 ms ICMP
 9  93.186.129.176  121.122 ms ICMP
10  195.22.216.143  236.963 ms ICMP
11  218.30.54.106  234.701 ms ICMP
12  202.97.97.178  306.842 ms ICMP
13  *
14  *
15  202.97.62.149  334.940 ms ICMP
16  *
17  *
18  *
19  *
20  *
21  *
22  *
23  *
24  *
25  *
26  *
27  *
28  *
29  *
30  *
tcp-traceroute from 192.168.100.4 to 98.126.159.160
 1  192.168.100.1  0.872 ms ICMP
 2  202.163.124.100  4.463 ms ICMP
 3  192.168.146.53  6.593 ms ICMP
 4  202.163.124.57  2.583 ms ICMP
 5  116.71.134.65  3.010 ms ICMP
 6  221.120.223.57  6.418 ms ICMP
 7  221.120.254.49  24.376 ms ICMP
 8  221.120.248.43  20.902 ms ICMP
 9  195.22.197.66  120.241 ms ICMP
10  195.22.205.13  142.799 ms ICMP
11  46.33.83.178  140.753 ms ICMP
12  213.254.230.250  288.053 ms ICMP
13  173.205.35.162  282.805 ms ICMP
14  184.164.196.234  297.006 ms ICMP
15  184.164.197.140  286.032 ms ICMP
16  98.126.159.160  355.488 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 23.88.28.85
 1  192.168.100.1  0.961 ms ICMP
 2  202.163.124.100  4.388 ms ICMP
 3  192.168.146.53  13.237 ms ICMP
 4  202.163.124.57  3.892 ms ICMP
 5  116.71.134.65  3.002 ms ICMP
 6  221.120.223.57  5.666 ms ICMP
 7  221.120.254.49  22.717 ms ICMP
 8  202.125.128.134  25.231 ms ICMP
 9  202.125.134.22  154.591 ms ICMP
10  80.249.209.150  155.608 ms ICMP
11  184.105.213.66  178.408 ms ICMP
12  72.52.92.198  191.710 ms ICMP
13  184.105.65.245  233.191 ms ICMP
14  184.105.81.150  234.983 ms ICMP
15  72.52.92.225  235.526 ms ICMP
16  184.105.80.202  288.300 ms ICMP
17  72.52.92.122  287.814 ms ICMP
18  *
19  *
20  23.88.28.85  282.165 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 85.214.131.165
 1  192.168.100.1  0.932 ms ICMP
 2  202.163.124.100  4.026 ms ICMP
 3  192.168.146.53  7.374 ms ICMP
 4  202.163.124.57  2.713 ms ICMP
 5  116.71.134.65  4.938 ms ICMP
 6  221.120.223.57  5.865 ms ICMP
 7  221.120.254.49  25.942 ms ICMP
 8  221.120.248.46  27.002 ms ICMP
 9  *
10  62.115.61.69  135.163 ms ICMP
11  62.115.112.230  166.918 ms ICMP
12  62.115.139.7  171.937 ms ICMP
13  213.248.88.90  182.107 ms ICMP
14  85.214.0.66  181.175 ms ICMP
15  85.214.0.217  179.210 ms ICMP
16  85.214.131.165  182.683 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 52.59.68.29
 1  192.168.100.1  0.811 ms ICMP
 2  202.163.124.100  3.925 ms ICMP
 3  192.168.146.53  13.052 ms ICMP
 4  202.163.124.57  19.572 ms ICMP
 5  116.71.134.65  2.810 ms ICMP
 6  221.120.223.57  4.840 ms ICMP
 7  221.120.254.49  22.110 ms ICMP
 8  202.125.128.163  21.866 ms ICMP
 9  195.229.27.137  40.345 ms ICMP
10  195.229.0.89  39.991 ms ICMP
11  *
12  *
13  *
14  54.239.46.109  155.556 ms ICMP
15  52.93.68.150  171.381 ms ICMP
16  54.239.46.153  157.722 ms ICMP
17  52.93.21.153  157.859 ms ICMP
18  54.239.43.251  160.378 ms ICMP
19  *
20  *
21  *
22  52.93.111.187  152.674 ms ICMP
23  54.239.107.117  153.372 ms ICMP
24  54.239.5.174  151.378 ms ICMP
25  *
26  *
27  *
28  52.59.68.29  150.808 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.149.65.198
 1  192.168.100.1  5.266 ms ICMP
 2  202.163.124.100  3.951 ms ICMP
 3  192.168.146.53  17.494 ms ICMP
 4  202.163.124.57  2.683 ms ICMP
 5  116.71.134.65  9.979 ms ICMP
 6  221.120.223.57  15.789 ms ICMP
 7  221.120.254.49  23.934 ms ICMP
 8  221.120.248.43  19.734 ms ICMP
 9  93.186.129.176  121.590 ms ICMP
10  195.22.205.13  141.816 ms ICMP
11  46.33.83.178  138.234 ms ICMP
12  89.149.141.125  282.132 ms ICMP
13  69.174.22.86  282.244 ms ICMP
14  *
15  104.149.65.198  299.128 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.24.118.69
 1  192.168.100.1  0.894 ms ICMP
 2  202.163.124.100  3.337 ms ICMP
 3  *
 4  202.163.124.57  4.493 ms ICMP
 5  116.71.134.65  2.902 ms ICMP
 6  221.120.223.57  4.820 ms ICMP
 7  221.120.254.49  22.486 ms ICMP
 8  221.120.251.88  20.594 ms ICMP
 9  221.120.200.3  21.850 ms ICMP
10  104.24.118.69  21.688 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 45.34.65.125
 1  192.168.100.1  5.861 ms ICMP
 2  202.163.124.100  3.787 ms ICMP
 3  192.168.146.53  4.845 ms ICMP
 4  202.163.124.57  2.872 ms ICMP
 5  116.71.134.65  3.048 ms ICMP
 6  221.120.223.57  4.167 ms ICMP
 7  221.120.254.49  23.549 ms ICMP
 8  221.120.248.43  20.403 ms ICMP
 9  *
10  80.249.209.150  155.690 ms ICMP
11  184.105.213.66  165.441 ms ICMP
12  72.52.92.198  190.000 ms ICMP
13  184.105.65.245  225.920 ms ICMP
14  184.105.81.150  232.659 ms ICMP
15  72.52.92.225  235.499 ms ICMP
16  184.105.80.202  288.165 ms ICMP
17  72.52.92.122  293.623 ms ICMP
18  23.238.223.33  282.359 ms ICMP
19  *
20  45.34.65.125  291.848 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 120.26.207.166
 1  192.168.100.1  4.976 ms ICMP
 2  202.163.124.100  4.268 ms ICMP
 3  *
 4  202.163.124.57  2.611 ms ICMP
 5  116.71.134.65  3.126 ms ICMP
 6  221.120.223.53  3.075 ms ICMP
 7  221.120.254.18  95.480 ms ICMP
 8  202.125.128.134  26.880 ms ICMP
 9  93.186.129.176  121.953 ms ICMP
10  195.22.211.36  154.163 ms ICMP
11  89.221.34.147  154.179 ms ICMP
12  202.97.38.161  280.472 ms ICMP
13  *
14  202.97.62.113  281.521 ms ICMP
15  *
16  220.191.200.50  395.792 ms ICMP
17  115.236.101.217  383.956 ms ICMP
18  *
19  119.38.215.217  389.226 ms ICMP
20  *
21  *
22  120.26.207.166  287.048 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 166.62.28.131
 1  192.168.100.1  105.027 ms ICMP
 2  202.163.124.100  3.957 ms ICMP
 3  192.168.146.53  4.732 ms ICMP
 4  202.163.124.57  2.898 ms ICMP
 5  116.71.134.65  2.943 ms ICMP
 6  221.120.223.57  5.158 ms ICMP
 7  221.120.254.49  24.746 ms ICMP
 8  221.120.248.43  22.092 ms ICMP
 9  93.186.129.176  120.686 ms ICMP
10  195.22.205.39  147.786 ms ICMP
11  93.186.128.157  215.756 ms ICMP
12  129.250.3.178  215.205 ms ICMP
13  129.250.4.69  217.077 ms ICMP
14  129.250.4.9  215.658 ms ICMP
15  129.250.4.53  223.047 ms ICMP
16  129.250.4.74  215.369 ms ICMP
17  116.51.27.158  229.429 ms ICMP
18  148.72.204.7  216.990 ms ICMP
19  *
20  *
21  166.62.28.131  216.991 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 123.206.194.13
 1  192.168.100.1  0.870 ms ICMP
 2  202.163.124.100  5.002 ms ICMP
 3  192.168.146.53  7.225 ms ICMP
 4  202.163.124.57  2.906 ms ICMP
 5  116.71.134.65  3.109 ms ICMP
 6  221.120.223.53  5.635 ms ICMP
 7  221.120.254.18  95.791 ms ICMP
 8  221.120.248.43  90.863 ms ICMP
 9  195.22.197.118  121.401 ms ICMP
10  195.22.211.36  157.151 ms ICMP
11  89.221.34.147  155.715 ms ICMP
12  202.97.95.205  268.835 ms ICMP
13  202.97.35.105  268.196 ms ICMP
14  202.97.57.26  312.124 ms ICMP
15  101.95.120.149  398.145 ms ICMP
16  124.74.166.126  294.263 ms ICMP
17  101.95.225.202  310.304 ms ICMP
18  101.226.242.18  321.500 ms ICMP
19  *
20  182.254.127.54  297.191 ms ICMP
21  *
22  *
23  123.206.194.13  298.045 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 218.16.125.53
 1  192.168.100.1  0.898 ms ICMP
 2  202.163.124.100  3.756 ms ICMP
 3  192.168.146.53  4.703 ms ICMP
 4  202.163.124.57  2.804 ms ICMP
 5  116.71.134.65  3.243 ms ICMP
 6  221.120.223.57  3.348 ms ICMP
 7  221.120.254.49  24.620 ms ICMP
 8  202.125.128.134  29.945 ms ICMP
 9  93.186.129.216  123.889 ms ICMP
10  195.22.216.143  265.505 ms ICMP
11  218.30.54.106  261.793 ms ICMP
12  202.97.90.193  330.367 ms ICMP
13  202.97.50.93  368.285 ms ICMP
14  202.97.91.197  363.380 ms ICMP
15  202.97.91.21  369.638 ms ICMP
16  113.96.254.29  370.050 ms ICMP
17  218.16.126.201  368.867 ms ICMP
18  *
19  *
20  218.16.125.53  341.796 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 54.236.66.184
 1  *
 2  202.163.124.100  2.237 ms ICMP
 3  *
 4  202.163.124.57  23.001 ms ICMP
 5  116.71.134.65  2.958 ms ICMP
 6  221.120.223.53  3.332 ms ICMP
 7  221.120.254.18  25.979 ms ICMP
 8  221.120.248.43  54.602 ms ICMP
 9  195.229.27.129  49.749 ms ICMP
10  195.229.0.89  42.415 ms ICMP
11  195.229.3.169  236.314 ms ICMP
12  195.229.3.169  236.086 ms ICMP
13  206.126.236.35  241.556 ms ICMP
14  54.239.111.248  246.859 ms ICMP
15  52.93.114.103  239.711 ms ICMP
16  *
17  *
18  *
19  52.93.28.172  223.767 ms ICMP
20  *
21  *
22  *
23  *
24  *
25  54.236.66.184  242.934 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 124.127.253.33
 1  192.168.100.1  0.996 ms ICMP
 2  202.163.124.100  4.048 ms ICMP
 3  192.168.146.53  6.014 ms ICMP
 4  202.163.124.57  5.613 ms ICMP
 5  116.71.134.65  2.927 ms ICMP
 6  221.120.223.53  4.823 ms ICMP
 7  221.120.254.18  25.400 ms ICMP
 8  202.125.128.135  22.814 ms ICMP
 9  116.51.26.49  105.946 ms ICMP
10  129.250.7.20  110.081 ms ICMP
11  129.250.4.54  103.252 ms ICMP
12  129.250.2.243  167.460 ms ICMP
13  129.250.2.154  166.643 ms ICMP
14  129.250.66.90  268.744 ms ICMP
15  *
16  *
17  *
18  106.120.254.170  274.446 ms ICMP
19  124.127.131.198  275.979 ms ICMP
20  *
21  *
22  *
23  *
24  *
25  *
26  *
27  *
28  *
29  *
30  *
31  *
32  *
33  *
34  *
tcp-traceroute from 192.168.100.4 to 202.130.245.36
 1  192.168.100.1  0.845 ms ICMP
 2  202.163.124.100  2.324 ms ICMP
 3  *
 4  202.163.124.57  3.112 ms ICMP
 5  116.71.134.65  3.184 ms ICMP
 6  221.120.223.57  3.489 ms ICMP
 7  221.120.254.49  24.400 ms ICMP
 8  202.125.128.164  20.376 ms ICMP
 9  116.51.27.49  104.246 ms ICMP
10  129.250.7.18  105.567 ms ICMP
11  129.250.4.34  102.620 ms ICMP
12  129.250.2.67  165.212 ms ICMP
13  129.250.7.33  163.712 ms ICMP
14  129.250.8.26  273.218 ms ICMP
15  219.158.16.81  262.721 ms ICMP
16  219.158.5.145  374.890 ms ICMP
17  *
18  123.126.0.230  265.719 ms ICMP
19  61.148.143.26  263.016 ms ICMP
20  202.96.8.230  263.658 ms ICMP
21  210.74.176.238  265.568 ms ICMP
22  *
23  *
24  *
25  *
26  *
27  *
28  *
29  *
30  *
31  *
32  *
33  *
34  *
35  *
36  *
tcp-traceroute from 192.168.100.4 to 185.11.24.12
 1  192.168.100.1  1.032 ms ICMP
 2  202.163.124.100  7.196 ms ICMP
 3  *
 4  202.163.124.57  2.823 ms ICMP
 5  116.71.134.65  2.942 ms ICMP
 6  221.120.223.53  3.000 ms ICMP
 7  221.120.254.18  23.771 ms ICMP
 8  202.125.128.134  25.597 ms ICMP
 9  195.22.197.66  123.057 ms ICMP
10  195.22.208.75  154.816 ms ICMP
11  130.117.15.37  154.489 ms ICMP
12  154.54.56.189  155.581 ms ICMP
13  154.54.58.226  163.893 ms ICMP
14  154.54.60.254  174.427 ms ICMP
15  154.54.39.130  184.864 ms ICMP
16  149.14.10.178  184.920 ms ICMP
17  213.197.128.66  186.255 ms ICMP
18  92.62.128.190  189.534 ms ICMP
19  185.11.24.12  183.143 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 14.18.141.10
 1  192.168.100.1  0.887 ms ICMP
 2  202.163.124.100  2.331 ms ICMP
 3  192.168.146.53  145.621 ms ICMP
 4  202.163.124.57  2.756 ms ICMP
 5  116.71.134.65  2.997 ms ICMP
 6  221.120.223.57  3.134 ms ICMP
 7  221.120.254.49  21.593 ms ICMP
 8  221.120.248.3  22.393 ms ICMP
 9  93.186.142.194  122.669 ms ICMP
10  195.22.211.104  153.413 ms ICMP
11  89.221.34.147  154.605 ms ICMP
12  202.97.58.13  301.766 ms ICMP
13  *
14  202.97.94.133  302.769 ms ICMP
15  *
16  *
17  183.61.211.98  665.555 ms ICMP
18  *
